Player,Position,salary_usd
Carlos Santana,1b-dh,"$12,000,000"
Jurickson Profar,lf,"$12,000,000"
Taylor Rogers,lhp,"$12,000,000"
Antonio Senzatela,rhp-s,"$12,000,000"
Ryan McMahon,3b,"$12,000,000"
Logan Webb,rhp-s,"$12,000,000"
Rafael Montero,rhp,"$11,500,000"
Nico Hoerner,2b,"$11,500,000"
Randy Arozarena,lf,"$11,300,000"
Jake Cronenworth,1b,"$11,285,714"
Robert Stephenson,rhp,"$11,000,000"
J.P. Crawford,ss,"$11,000,000"
A.J. Minter,lhp,"$11,000,000"
Josh Naylor,1b,"$10,900,000"
Aroldis Chapman,lhp,"$10,750,000"
Andrés Giménez,2b,"$10,571,429"
Chad Green,rhp,"$10,500,000"
Brandon Lowe,2b,"$10,500,000"
Jeffrey Springs,lhp-s,"$10,500,000"
Adolis García,rf,"$10,500,000"
Anthony Santander,rf,"$10,471,465"
Cristian Javier,rhp-s,"$10,400,000"
Nathaniel Lowe,1b,"$10,300,000"
Tarik Skubal,lhp-s,"$10,150,000"
Kenley Jansen,rhp-c,"$10,000,000"
Christian Vázquez,c,"$10,000,000"
Kenta Maeda,rhp,"$10,000,000"
Max Kepler,lf,"$10,000,000"
Matt Boyd,lhp-s,"$10,000,000"
José Leclerc,rhp,"$10,000,000"
Germán Márquez,rhp-s,"$10,000,000"
Carlos Estévez,rhp-c,"$10,000,000"
Yandy Díaz,1b,"$10,000,000"
Shane Bieber,rhp-s,"$10,000,000"
Robert Suarez,rhp,"$10,000,000"
Mike Yastrzemski,cf,"$9,250,000"
José Alvarado,lhp,"$9,166,667"
Joe Jiménez,rhp,"$9,000,000"
Andrew Kittredge,rhp,"$9,000,000"
Michael Soroka,rhp-s,"$9,000,000"
Ranger Suárez,lhp-s,"$8,800,000"
Brady Singer,rhp-s,"$8,750,000"
Cedric Mullins,cf,"$8,725,000"
Devin Williams,rhp-c,"$8,600,000"
Blake Treinen,rhp,"$8,500,000"
Gary Sánchez,c,"$8,500,000"
Jordan Romano,rhp-c,"$8,500,000"
Tommy Edman,2b-cf,"$8,400,000"
Ryan Helsley,rhp-c,"$8,200,000"
Daulton Varsho,lf,"$8,200,000"
Bobby Witt Jr.,ss,"$8,111,111"
Emilio Pagán,rhp,"$8,000,000"
Reynaldo López,rhp,"$8,000,000"
Seranthony Domínguez,rhp,"$8,000,000"
Freddy Peralta,rhp-s,"$8,000,000"
Danny Jansen,c,"$8,000,000"
Ryan O'Hearn,1b-of,"$8,000,000"
Aaron Civale,rhp-s,"$8,000,000"
Michael Harris II,cf,"$8,000,000"
Lane Thomas,rf,"$7,825,000"
Taylor Ward,lf,"$7,825,000"
Tommy Kahnle,rhp,"$7,750,000"
Alec Bohm,3b,"$7,700,000"
Jeff Hoffman,rhp-s,"$7,666,667"
Logan Gilbert,rhp-s,"$7,625,000"
Nestor Cortes,lhp-s,"$7,600,000"
Hunter Renfroe,rf,"$7,570,000"
Clayton Kershaw,lhp-s,"$7,500,000"
Yimi García,rhp,"$7,500,000"
Matt Strahm,lhp,"$7,500,000"
Jesse Winker,dh-lf,"$7,500,000"
Isiah Kiner-Falefa,ss,"$7,500,000"
Chris Paddack,rhp-s,"$7,500,000"
Erick Fedde,rhp-s,"$7,500,000"
Jonathan India,2b,"$7,050,000"
Trevor Williams,rhp-s,"$7,000,000"
Jorge Polanco,3b,"$7,000,000"
Ozzie Albies,2b,"$7,000,000"
Merrill Kelly,rhp-s,"$7,000,000"
Pierce Johnson,rhp,"$7,000,000"
Ke'Bryan Hayes,3b,"$7,000,000"
Yariel Rodriguez,rhp-s,"$7,000,000"
Ryan Mountcastle,1b,"$6,787,000"
Jesus Lúzardo,lhp-s,"$6,625,000"
Isaac Paredes,3b,"$6,625,000"
Justin Steele,lhp-s,"$6,550,000"
Kiké Hernández,ss-cf,"$6,500,000"
Willi Castro,2b-of,"$6,400,000"
Austin Gomber,lhp-s,"$6,350,000"
Hunter Greene,rhp-s,"$6,333,333"
Evan Phillips,rhp,"$6,100,000"
Travis d'Arnaud,c,"$6,000,000"
Liam Hendriks,rhp-c,"$6,000,000"
Josh Bell,dh-1b,"$6,000,000"
Victor Caratini,c,"$6,000,000"
Paul Sewald,rhp,"$6,000,000"
Myles Straw,cf,"$6,000,000"
William Contreras,c,"$6,000,000"
Luis Rengifo,2b,"$5,950,000"
David Bednar,rhp-c,"$5,900,000"
Jazz Chisholm Jr.,2b,"$5,850,000"
Andrew Vaughn,1b,"$5,850,000"
Kyle Higashioka,c,"$5,750,000"
Zack Littell,rhp-s,"$5,720,000"
Corbin Carroll,lf,"$5,625,000"
Michael Lorenzen,rhp-of,"$5,500,000"
Chris Martin,rhp,"$5,500,000"
Patrick Sandoval,lhp-s,"$5,500,000"
Garrett Whitlock,rhp,"$5,500,000"
Adley Rutschman,c,"$5,500,000"
Yuki Matsui,lhp,"$5,500,000"
Tony Gonsolin,rhp-s,"$5,400,000"
Keibert Ruiz,c,"$5,375,000"
Gregory Soto,lhp,"$5,350,000"
Kyle Gibson,rhp-s,"$5,250,000"
Andrew Heaney,lhp-s,"$5,250,000"
Tyler Rogers,rhp,"$5,250,000"
Kyle Finnegan,rhp-c,"$5,227,727"
Michael Kopech,rhp,"$5,200,000"
Andrew McCutchen,dh-of,"$5,000,000"
Miguel Rojas,ss,"$5,000,000"
Yoán Moncada,3b,"$5,000,000"
Carson Kelly,c,"$5,000,000"
Brandon Woodruff,rhp-s,"$5,000,000"
Jonathan Loáisiga,rhp,"$5,000,000"
Trent Grisham,cf,"$5,000,000"
LaMonte Wade Jr.,1b,"$5,000,000"
Mauricio Dubón,2b,"$5,000,000"
Tyler Stephenson,c,"$4,925,000"
Emmanuel Clase,rhp-c,"$4,900,000"
Jason Adam,rhp,"$4,800,000"
Harrison Bader,cf,"$4,750,000"
Leody Taveras,cf,"$4,750,000"
David Peterson,lhp-s,"$4,625,000"
Alejandro Kirk,c,"$4,600,000"
Jonah Heim,c,"$4,575,000"
Ryan Jeffers,c,"$4,550,000"
Camilo Doval,rhp-c,"$4,525,000"
Chris Stratton,rhp,"$4,500,000"
Ryan Brasier,rhp,"$4,500,000"
Ryne Stanek,rhp,"$4,500,000"
Jakob Junis,rhp-s,"$4,500,000"
Luis García Jr.,2b,"$4,500,000"
Jesús Sánchez,of,"$4,500,000"
Alexis Díaz,rhp-c,"$4,500,000"
George Kirby,rhp-s,"$4,300,000"
Wandy Peralta,lhp,"$4,250,000"
Griffin Canning,rhp-s,"$4,250,000"
Colin Rea,rhp,"$4,250,000"
Jackson Chourio,of,"$4,250,000"
Ezequiel Tovar,ss,"$4,214,286"
Steven Kwan,lf,"$4,175,000"
Victor Robles,cf,"$4,125,000"
Jhoan Duran,rhp-c,"$4,125,000"
Jeremy Peña,ss,"$4,100,000"
Paul Blackburn,rhp-s,"$4,050,000"
Tommy Pham,lf,"$4,025,000"
Justin Turner,1b-3b,"$4,000,000"
Austin Hedges,c,"$4,000,000"
Tom Murphy,c,"$4,000,000"
Joe Ross,rhp-s,"$4,000,000"
Tyler Kinley,rhp,"$4,000,000"
Ramón Laureano,rf,"$4,000,000"
Austin Hays,lf,"$4,000,000"
Michael King,rhp-s,"$4,000,000"
Brent Rooker,dh-lf,"$4,000,000"
Spencer Strider,rhp-s,"$4,000,000"
Tanner Houck,rhp,"$3,950,000"
Dylan Moore,3b,"$3,908,333"
Colt Keith,1b,"$3,833,333"
Pete Fairbanks,rhp-c,"$3,816,667"
Garrett Crochet,lhp-s,"$3,800,000"
Jarren Duran,cf,"$3,750,000"
Hunter Harvey,rhp,"$3,700,000"
Shane McClanahan,lhp-s,"$3,600,000"
Clarke Schmidt,rhp-s,"$3,600,000"
Jorge Mateo,ss,"$3,550,000"
Bailey Ober,rhp-s,"$3,550,000"
Martín Pérez,lhp-s,"$3,500,000"
Wilmer Flores,2b-3b,"$3,500,000"
Donovan Solano,2b-3b,"$3,500,000"
Austin Barnes,c,"$3,500,000"
Aaron Bummer,lhp,"$3,500,000"
Cal Quantrill,rhp-s,"$3,500,000"
Josh Rojas,2b,"$3,500,000"
Bryan Abreu,rhp,"$3,450,000"
Aaron Ashby,lhp,"$3,450,000"
Jose Trevino,c,"$3,425,000"
Chas McCormick,cf,"$3,400,000"
Tanner Bibee,rhp-s,"$3,400,000"
Gavin Lux,2b,"$3,325,000"
Thairo Estrada,2b,"$3,250,000"
Bryson Stott,2b,"$3,200,000"
Ramón Urías,2b,"$3,150,000"
Jason Foley,rhp-c,"$3,150,000"
Jake Fraley,dh,"$3,125,000"
Tyrone Taylor,of,"$3,025,000"
Matt Vierling,rf,"$3,005,000"
José Iglesias,ss,"$3,000,000"
Jorge López,rhp,"$3,000,000"
Caleb Ferguson,lhp,"$3,000,000"
Lucas Sims,rhp,"$3,000,000"
Daniel Coulombe,lhp,"$3,000,000"
Erik Swanson,rhp,"$3,000,000"
Miguel Andujar,lf,"$3,000,000"
Edmundo Sosa,ss,"$3,000,000"
