Player,Position,salary_usd
Ben Joyce,rhp,"$780,000"
Davis Schneider,inf,"$780,000"
Nolan Schanuel,1b-of,"$780,000"
Wilyer Abreu,of,"$780,000"
Sam Bachman,rhp,"$780,000"
Casey Schmitt,3b,"$780,000"
Gavin Stone,rhp,"$780,000"
David Hamilton,ss-2b,"$780,000"
Luis Matos,of,"$780,000"
Tyler Fitzgerald,2b-ss,"$780,000"
Erik Miller,lhp,"$780,000"
Hayden Wesneski,rhp-s,"$779,800"
Ryan Weathers,lhp-s,"$779,100"
Angel Zerpa,lhp,"$779,000"
Hunter Gaddis,rhp,"$778,900"
Mark Vientos,3b,"$778,750"
Alec Burleson,of,"$778,650"
Otto Lopez,2b,"$778,500"
Cole Sands,rhp,"$778,050"
Huascar Brazoban,rhp,"$778,000"
Tyson Miller,rhp,"$778,000"
Ronny Henriquez,rhp,"$778,000"
Matt Brash,rhp-s,"$777,600"
Tim Herrin,lhp,"$777,300"
Logan Allen,lhp-s,"$777,200"
Brice Turang,2b,"$777,100"
Jose Caballero,2b-ss,"$776,800"
Bryan Hudson,lhp,"$776,800"
Lucas Erceg,rhp,"$776,750"
Ezequiel Duran,2b,"$776,500"
Jeremiah Estrada,rhp,"$776,500"
Jared Koenig,lhp,"$776,300"
Kevin Kelly,rhp,"$776,100"
Joey Ortiz,ss,"$776,000"
Justin Slaten,rhp,"$776,000"
Matthew Liberatore,lhp,"$775,800"
Matt Waldron,rhp,"$775,800"
Tyler Freeman,2b,"$775,700"
Richie Palacios,of-2b,"$775,700"
Calvin Faucher,rhp,"$775,500"
Josh Lowe,rf-3b,"$775,100"
Joey Wentz,lhp,"$775,000"
Ji Hwan Bae,2b,"$775,000"
Carmen Mlodzinski,rhp-s,"$775,000"
Jared Triolo,2b,"$775,000"
Endy Rodríguez,c,"$775,000"
Nick Gonzales,ss,"$775,000"
Jared Jones,rhp-s,"$775,000"
Maikel Garcia,3b,"$774,750"
Ryan Pepiot,rhp-s,"$774,600"
Jake Irvin,rhp-s,"$774,600"
Colton Cowser,of,"$774,500"
Taj Bradley,rhp,"$774,200"
Jasson Domínguez,lf,"$774,200"
Romy González,2b,"$774,000"
Triston Casas,1b,"$774,000"
Brennan Bernardino,lhp,"$774,000"
Brett Baty,3b,"$774,000"
Cody Bradford,lhp,"$774,000"
Greg Weissert,rhp,"$774,000"
Elvis Peguero,rhp,"$773,800"
James McArthur,rhp,"$773,750"
Johan Rojas,of,"$773,500"
Wyatt Langford,lf,"$773,500"
Collin Snider,rhp,"$773,000"
Orion Kerkering,rhp,"$773,000"
Yennier Cano,rhp,"$772,900"
Randy Vásquez,rhp-s,"$772,800"
Edouard Julien,2b,"$772,750"
Jordan Westburg,ss,"$772,700"
Oswald Peraza,ss,"$772,700"
Robert Garcia,lhp,"$772,500"
Bryce Jarvis,rhp,"$772,300"
Jose Herrera,c,"$772,200"
Zack Thompson,lhp-s,"$772,200"
Garrett Mitchell,cf,"$772,000"
Jonah Bride,1b,"$772,000"
Dairon Blanco,lf-cf,"$772,000"
Xavier Edwards,ss,"$772,000"
Christopher Morel,3b,"$771,800"
Sal Frelick,rf,"$771,800"
Brendon Little,lhp,"$771,800"
Zack Kelly,rhp,"$771,500"
Gregory Santos,rhp,"$771,100"
Max Kranick,rhp,"$771,000"
Kody Clemens,2b,"$771,000"
Korey Lee,c,"$771,000"
Declan Cronin,rhp,"$771,000"
Brayan Rocchio,ss,"$771,000"
Pete Crow-Armstrong,cf,"$771,000"
Masyn Winn,ss,"$770,850"
Grayson Rodriguez,rhp,"$770,800"
Jordan Walker,rf,"$770,800"
Matt Wallner,rf,"$770,750"
Wenceel Pérez,cf,"$770,700"
Miguel Vargas,3b,"$770,400"
Iván Herrera,c,"$770,300"
Michael Siani,of,"$770,250"
Gabriel Arias,ss,"$770,200"
Jonny DeLuca,lf,"$770,100"
Mason Thompson,rhp,"$770,000"
Jake Bird,rhp,"$770,000"
JP Sears,lhp-s,"$770,000"
JJ Bleday,cf,"$770,000"
Shea Langeliers,c,"$770,000"
Ken Waldichuk,lhp-s,"$770,000"
Nolan Jones,3b,"$770,000"
Matt McLain,ss,"$770,000"
Brandon Williamson,lhp,"$770,000"
Andrew Abbott,lhp,"$770,000"
Elly De La Cruz,ss,"$770,000"
Kaleb Ort,rhp,"$770,000"
Christian Encarnacion-Strand,1b-3b,"$770,000"
Lenyn Sosa,2b-ss,"$770,000"
George Soriano,rhp,"$770,000"
Shawn Dubin,rhp,"$770,000"
Andy Pages,cf,"$770,000"
Randy Rodríguez,rhp,"$770,000"
Spencer Schwellenbach,rhp,"$770,000"
Jerar Encarnación,rf,"$770,000"
Daysbel Hernandez,rhp,"$770,000"
Grant Holmes,rhp,"$770,000"
Kyle Hurt,rhp,"$770,000"
AJ Smith-Shawver,rhp,"$770,000"
River Ryan,rhp,"$770,000"
Jack Kochanowicz,rhp-s,"$770,000"
Kyren Paris,ss,"$770,000"
Ryan Zeferjahn,rhp,"$770,000"
Eric Wagaman,inf,"$770,000"
Nacho Alvarez Jr.,ss-3b,"$770,000"
Alex Faedo,rhp,"$769,900"
J.P. France,rhp-s,"$769,900"
Eury Pérez,rhp,"$769,500"
Jhony Brito,rhp,"$769,500"
Manuel Rodríguez,rhp,"$769,400"
Alex Call,cf,"$769,100"
Jonathan Cannon,rhp-s,"$769,100"
Alec Marsh,rhp,"$769,000"
Dane Myers,of,"$769,000"
Bryan Baker,rhp,"$768,700"
Jacob Young,cf,"$768,700"
Jesse Scholtens,rhp,"$768,600"
Ryan Fernandez,rhp,"$768,600"
Pedro Pagés,c,"$768,300"
Simeon Woods-Richardson,rhp-s,"$768,250"
Kyle Stowers,lf,"$768,200"
Cam Booser,lhp,"$768,200"
Louie Varland,rhp,"$768,150"
Max Meyer,rhp-s,"$768,000"
Miles Mastrobuoni,2b,"$768,000"
Will Warren,rhp,"$767,600"
Spencer Horwitz,1b,"$767,500"
Mitchell Parker,lhp-s,"$767,200"
Brant Hurter,lhp,"$767,100"
Kyle Leahy,rhp,"$767,000"
Porter Hodge,rhp,"$767,000"
Jhonkensy Noel,1b-3b,"$766,900"
Nathan Lukes,of,"$766,800"
Jonathan Aranda,2b,"$766,500"
Bryan King,lhp,"$766,400"
Blaze Alexander,ss,"$766,300"
DL Hall,lhp-s,"$766,100"
Luken Baker,1b,"$766,100"
Cade Povich,lhp-s,"$766,100"
Ronny Mauricio,ss,"$766,000"
Daniel Schneemann,3b,"$766,000"
Emerson Hancock,rhp,"$766,000"
Brenan Hanifee,rhp,"$766,000"
Richard Fitts,rhp-s,"$766,000"
Luisangel Acuña,ss,"$766,000"
Jordan Leasure,rhp,"$765,800"
Slade Cecconi,rhp,"$765,500"
Davis Martin,rhp-s,"$765,450"
Jose Ferrer,lhp,"$765,400"
Robert Gasser,lhp,"$765,400"
Taylor Trammell,of,"$765,200"
Yoendrys Gómez,rhp,"$765,050"
Mason Miller,rhp-c,"$765,000"
Brenton Doyle,cf,"$765,000"
Sean Bouchard,1b,"$765,000"
Luis Medina,rhp,"$765,000"
Zack Gelof,2b,"$765,000"
Michael Toglia,1b,"$765,000"
Tyler Soderstrom,lf,"$765,000"
Victor Vodnik,rhp,"$765,000"
Hunter Goodman,c,"$765,000"
Osvaldo Bido,rhp-s,"$765,000"
Max Schuemann,2b,"$765,000"
Mitch Spence,rhp,"$765,000"
Carson Spiers,rhp,"$765,000"
Landen Roupp,rhp-s,"$765,000"
Hayden Birdsong,rhp,"$765,000"
Spencer Bivens,rhp,"$765,000"
Valente Bellozo,rhp,"$765,000"
Connor Norby,2b,"$765,000"
Ryan Kreidler,ss,"$764,900"
Jackson Holliday,2b,"$764,800"
Drew Thorpe,rhp,"$764,750"
Erik Sabrowski,lhp,"$764,700"
James Wood,lf,"$764,600"
Alek Jacob,rhp,"$764,500"
Christian Scott,rhp,"$764,500"
Gerson Garabito,rhp,"$764,500"
Brooks Lee,3b-ss,"$764,450"
D.J. Herz,lhp,"$764,200"
Chris Roycroft,rhp,"$764,150"
Victor Scott II,cf,"$764,150"
Junior Caminero,3b,"$764,100"
Heston Kjerstad,of,"$764,000"
Weston Wilson,3b-of,"$764,000"
Tyler Phillips,rhp,"$764,000"
Trey Sweeney,ss,"$764,000"
Oliver Dunn,2b-lf,"$763,700"
Sawyer Gipson-Long,rhp,"$763,600"
Carlos Narvaez,c,"$763,500"
Zach Penrod,lhp,"$763,500"
Mason Englert,rhp,"$763,400"
Fraser Ellard,lhp,"$763,375"
Clayton Beeter,rhp,"$763,325"
Kyle Manzardo,1b,"$763,200"
Zach Dezenzo,3b,"$763,200"
Brent Headrick,lhp,"$763,125"
Sean Reynolds,rhp,"$763,100"
Jackson Kowar,rhp,"$763,000"
Matt Mervis,1b,"$763,000"
Will Wagner,2b,"$763,000"
Anthony Veneziano,lhp,"$762,925"
Joey Cantillo,lhp,"$762,800"
Blake Walston,lhp,"$762,700"
Hunter Bigge,rhp,"$762,700"
Brooks Baldwin,2b-3b,"$762,625"
Bryan Ramos,3b,"$762,625"
Prelander Berroa,rhp,"$762,625"
Dillon Dingler,c,"$762,600"
Ben Brown,rhp-s,"$762,500"
Griffin Conine,of,"$762,500"
Jack Leiter,rhp-s,"$762,500"
Lake Bachar,rhp,"$762,500"
Ben Casparius,rhp,"$762,500"
Edgardo Henriquez,rhp,"$762,500"
Mickey Gasper,1b,"$762,450"
José Tena,ss,"$762,400"
Abner Uribe,rhp,"$762,200"
Curtis Mead,3b-1b,"$762,200"
Eduardo Salazar,rhp,"$762,200"
Chayce McDermott,rhp,"$762,200"
Jacob Amaya,2b-ss,"$762,125"
Ryan Bliss,ss,"$762,100"
Chris Murphy,lhp,"$762,000"
Jordan Beck,of,"$762,000"
Angel Chivilli,rhp,"$762,000"
Bradley Blalock,rhp,"$762,000"
Jeff Criswell,rhp,"$762,000"
Luis Peralta,lhp,"$762,000"
Seth Halvorsen,rhp,"$762,000"
Dylan Crews,rf,"$761,800"
Mason Montgomery,lhp,"$761,800"
Troy Taylor,rhp,"$761,700"
Blake Dunn,of,"$761,500"
Julian Aguiar,rhp,"$761,500"
Jacob Hurtubise,rhp,"$761,500"
Graham Pauley,3b,"$761,500"
Rhett Lowder,rhp-s,"$761,500"
Javier Sanoja,ss-cf,"$761,500"
Kumar Rocker,rhp-s,"$761,500"
Ty Madden,rhp,"$761,400"
Luis Contreras,rhp,"$761,300"
DaShawn Keirsey Jr.,cf,"$761,250"
Carlos Vargas,rhp,"$761,200"
Vinny Capra,3b-lf,"$761,100"
Isaac Collins,lf,"$761,100"
Johnathan Rodriguez,of,"$760,900"
Jackson Jobe,rhp-s,"$760,900"
Ky Bush,lhp,"$760,800"
Brandon Eisert,lhp,"$760,800"
Kameron Misner,of,"$760,700"
Marc Church,rhp,"$760,500"
Zach Brzykcy,rhp,"$760,400"
Pedro Leon,of-ss,"$760,400"
Sean Burke,rhp-s,"$760,350"
Brandon Lockridge,of,"$760,300"
Orlando Ribalta,rhp,"$760,300"
Cade Cavalli,rhp,"$760,200"
Hogan Harris,lhp,"$760,000"
Joey Estes,rhp-s,"$760,000"
Tyler Ferguson,rhp,"$760,000"
Michel Otanez,rhp,"$760,000"
Jacob Wilson,ss,"$760,000"
Brett Harris,3b,"$760,000"
Jhonny Pereda,c-1b,"$760,000"
Brady Basso,lhp,"$760,000"
Justin Sterner,rhp,"$760,000"
Forrest Whitley,rhp,"$760,000"
Ryan Gusto,rhp,"$760,000"
Drake Baldwin,c,"$760,000"
Angel Bastardo,rhp,"$760,000"
Kristian Campbell,2b,"$760,000"
Omar Cruz,lhp,"$760,000"
Jack Dreyer,lhp,"$760,000"
J.C. Escarra,c,"$760,000"
Liam Hicks,c,"$760,000"
Ryan Johnson,rhp,"$760,000"
Christian Koss,ss,"$760,000"
Nate Lavender,lhp,"$760,000"
Brad Lord,rhp,"$760,000"
Garrett McDaniels,lhp,"$760,000"
Max Muncy,ss,"$760,000"
Noah Murdock,rhp,"$760,000"
Chad Patrick,rhp,"$760,000"
Alan Roden,of,"$760,000"
Rōki Sasaki,rhp-s,"$760,000"
Hayden Senger,c,"$760,000"
Matt Shaw,3b,"$760,000"
Cam Smith,rf,"$760,000"
Shane Smith,rhp,"$760,000"
Connor Thomas,lhp,"$760,000"
Mike Vasil,rhp,"$760,000"
Gage Workman,ss,"$760,000"
